Epoch,Training Loss,Validation Loss,Learning Rate
85,0.8058,0.8719,1.0926199633097381e-05
86,0.8058,0.8718,0.0
87,0.8055,0.8718,1.0926199633097156e-05
88,0.8054,0.8717,4.322727117869957e-05
89,0.8052,0.8717,9.549150281252545e-05
90,0.8049,0.8724,0.00016543469682057008
91,0.8046,0.8731,0.00024999999999999773
92,0.8042,0.8735,0.00034549150281252395
93,0.804,0.8739,0.00044773576836617103
94,0.8041,0.875,0.0005522642316338245
95,0.8053,0.8771,0.0006545084971874698
96,0.8083,0.8769,0.0007499999999999946
97,0.811,0.8771,0.000834565303179424
98,0.8115,0.8764,0.0009045084971874687
99,0.8117,0.8773,0.0009567727288212956
100,0.8123,0.8794,0.0009890738003668978
101,0.8128,0.8787,0.0009999999999999953
102,0.8112,0.8782,0.0009890738003668984
103,0.8108,0.8801,0.0009567727288212963
104,0.8099,0.8792,0.0009045084971874688
105,0.8099,0.8757,0.0008345653031794266
106,0.8089,0.8739,0.0007499999999999976
107,0.8077,0.8759,0.0006545084971874712
108,0.8059,0.8743,0.0005522642316338242
109,0.8047,0.8735,0.0004477357683661707
110,0.8039,0.8755,0.0003454915028125237
111,0.8035,0.8764,0.00025000000000000044
112,0.8033,0.8744,0.00016543469682057108
113,0.8031,0.8737,9.549150281252623e-05
114,0.803,0.8726,4.3227271178699374e-05
115,0.803,0.8716,1.0926199633097773e-05
116,0.803,0.8716,0.0
117,0.8028,0.8716,1.0926199633097156e-05
118,0.8027,0.8715,4.322727117869892e-05
119,0.8025,0.8714,9.549150281252249e-05
120,0.8022,0.872,0.00016543469682056493
121,0.8019,0.8726,0.0002499999999999915
122,0.8016,0.873,0.0003454915028125116
123,0.8014,0.8733,0.0004477357683661554
124,0.8015,0.8739,0.0005522642316338058
125,0.8026,0.8744,0.0006545084971874498
126,0.8056,0.8765,0.0007499999999999702
127,0.8087,0.8737,0.0008345653031793972
128,0.809,0.8781,0.0009045084971874424
129,0.8081,0.8773,0.0009567727288212672
