Epoch,Training Loss,Validation Loss,Learning Rate
40.0,0.3847,0.3854,0.0009567727288213007
41.0,0.3843,0.3862,0.000989073800366903
42.0,0.3843,0.3849,0.0010000000000000002
43.0,0.3857,0.388,0.000989073800366903
44.0,0.3862,0.3882,0.0009567727288213008
45.0,0.3865,0.3898,0.0009045084971874739
46.0,0.3848,0.387,0.0008345653031794293
47.0,0.3837,0.3849,0.0007500000000000003
48.0,0.3831,0.3848,0.000654508497187474
49.0,0.3828,0.3866,0.0005522642316338268
50.0,0.3828,0.3843,0.0004477357683661736
51.0,0.3815,0.382,0.0003454915028125265
52.0,0.3804,0.3806,0.00025000000000000044
53.0,0.3798,0.3793,0.0001654346968205715
54.0,0.3793,0.379,9.549150281252641e-05
55.0,0.3786,0.3782,4.3227271178699746e-05
56.0,0.3779,0.378,1.0926199633097327e-05
57.0,0.3776,0.3779,0.0
58.0,0.3775,0.3779,1.0926199633097156e-05
59.0,0.3776,0.3779,4.322727117869979e-05
60.0,0.3777,0.3779,9.549150281252665e-05
61.0,0.3779,0.378,0.0001654346968205714
62.0,0.378,0.378,0.0002500000000000014
63.0,0.3779,0.378,0.00034549150281252785
64.0,0.3776,0.3782,0.00044773576836617596
65.0,0.3773,0.3785,0.0005522642316338296
66.0,0.3772,0.3792,0.0006545084971874769
67.0,0.3775,0.3797,0.0007500000000000042
68.0,0.3789,0.3824,0.0008345653031794334
69.0,0.381,0.3847,0.0009045084971874781
70.0,0.3817,0.3833,0.0009567727288213055
71.0,0.3819,0.3839,0.000989073800366908
72.0,0.3822,0.3835,0.0010000000000000052
73.0,0.3822,0.3817,0.0009890738003669082
74.0,0.3812,0.3812,0.0009567727288213059
75.0,0.3811,0.3837,0.0009045084971874787
76.0,0.3805,0.3833,0.0008345653031794339
77.0,0.3801,0.3816,0.0007500000000000046
78.0,0.3789,0.381,0.0006545084971874773
79.0,0.3786,0.3813,0.0005522642316338302
80.0,0.3785,0.3799,0.0004477357683661756
81.0,0.3777,0.3787,0.0003454915028125284
82.0,0.377,0.3776,0.0002500000000000018
83.0,0.3765,0.3767,0.00016543469682057173
84.0,0.3762,0.3763,9.549150281252694e-05
85.0,0.3756,0.3756,4.322727117870001e-05
86.0,0.3749,0.3753,1.092619963309721e-05
87.0,0.3746,0.3752,0.0
88.0,0.3745,0.3751,1.0926199633097156e-05
89.0,0.3745,0.3751,4.322727117869962e-05
90.0,0.3746,0.3752,9.549150281252707e-05
91.0,0.3748,0.3753,0.00016543469682057276
92.0,0.3748,0.3753,0.00025000000000000174
93.0,0.3747,0.3753,0.0003454915028125294
94.0,0.3745,0.3754,0.0004477357683661763
95.0,0.3742,0.3754,0.0005522642316338332
96.0,0.374,0.3754,0.0006545084971874801
97.0,0.374,0.3757,0.000750000000000008
